ref,title,author,date,canon_degree,glob_word,glob_book,glob_part,glob_chapter,glob_paragraph,glob_sentence,glob_av_word_per_sent,glob_verb,glob_adverb,glob_adj,glob_coord,glob_sub,glob_il,glob_ils,glob_elle,glob_elles,glob_je,glob_nous,glob_etat,glob_voc,first_word,first_paragraph,first_sentence,first_av_word_per_sent,first_verb,first_adverb,first_adj,first_coord,first_sub,first_il,first_ils,first_elle,first_elles,first_je,first_nous,first_etat,first_voc,first_ten_word,first_ten_sentence,first_ten_av_word_per_sent,first_ten_verb,first_ten_adverb,first_ten_adj,first_ten_coord,first_ten_sub,first_ten_il,first_ten_ils,first_ten_elle,first_ten_elles,first_ten_je,first_ten_nous,first_ten_etat,first_ten_voc,mid_word,mid_paragraph,mid_sentence,mid_av_word_per_sent,mid_verb,mid_adverb,mid_adj,mid_coord,mid_sub,mid_il,mid_ils,mid_elle,mid_elles,mid_je,mid_nous,mid_etat,mid_voc,last_word,last_paragraph,last_sentence,last_av_word_per_sent,last_verb,last_adverb,last_adj,last_coord,last_sub,last_il,last_ils,last_elle,last_elles,last_je,last_nous,last_etat,last_voc,last_ten_word,last_ten_sentence,last_ten_av_word_per_sent,last_ten_verb,last_ten_adverb,last_ten_adj,last_ten_coord,last_ten_sub,last_ten_il,last_ten_ils,last_ten_elle,last_ten_elles,last_ten_je,last_ten_nous,last_ten_etat,last_ten_voc,titled_books,titled_parts,titled_chapters,numbered_books,numbered_parts,numbered_chapters
1890_Pont-Jest-Rene-de_Le-Fleuve-des-perles-(L-araignee-Rouge).xml,Le Fleuve des perles (L'araignée Rouge)    ,"Pont-Jest, René de",1890,empty,71819,0,2,21,1981,2351,19,6584,4160,3298,1915,496,950,130,334,22,237,135,1887,4245,1668,36,43,15,143,104,84,45,9,28,1,2,2,1,0,40,534,7181,200,34,620,396,376,206,45,69,9,49,8,11,3,186,1432,4478,122,142,20,372,215,198,128,24,44,18,45,1,4,4,117,1067,3213,76,104,19,276,158,134,77,11,42,2,11,1,9,4,76,822,7181,226,29,632,388,341,195,45,109,7,20,3,15,20,183,1438,0,2,21,0,0,21
1848_Dumas-Alexandre_La-dame-aux-camelias.xml,La dame aux camélias    ,"Dumas, Alexandre (fils)",1848,empty,77036,0,0,27,2557,3125,20,8571,5256,2581,2409,850,581,68,754,81,1327,293,2193,3306,2060,51,72,24,182,136,93,74,22,17,1,12,10,21,6,44,527,7703,233,31,727,507,351,253,88,62,11,59,20,57,14,183,1310,3323,117,135,20,388,238,89,104,44,23,0,57,0,76,1,87,583,639,20,24,14,60,32,23,13,5,1,0,11,1,7,5,19,231,7703,293,25,791,524,248,209,78,58,8,67,1,134,18,235,1037,0,0,27,0,0,0
1843_Feval-Paul-(pere)_Les-Fanfarons-du-Roi.xml,Les Fanfarons du Roi    ,"Féval, Paul (père)",1843,empty,92237,0,0,35,2903,3801,17,9588,4294,4202,2646,559,932,68,162,14,478,193,2079,4993,2840,97,109,19,277,143,136,92,11,28,2,1,0,12,6,56,717,9223,315,28,815,461,490,290,60,79,13,18,1,38,17,212,1645,2410,114,134,12,266,103,119,66,24,31,1,2,0,4,1,58,698,2571,102,129,13,286,91,95,59,9,26,0,0,0,9,3,45,714,9223,446,19,1071,376,378,238,44,113,4,10,0,44,12,198,1509,0,0,35,0,0,35
2004_Angot-Christine_Une-partie-du-coeur.xml,Une partie du cœur    ,"Angot, Christine",2004,empty,13530,0,0,0,73,777,16,1189,1101,586,330,151,140,27,68,7,96,68,530,1541,2840,97,109,19,277,143,136,92,11,28,2,1,0,12,6,56,717,1353,78,16,121,127,61,32,10,21,0,3,0,19,1,45,349,2410,114,134,12,266,103,119,66,24,31,1,2,0,4,1,58,698,2571,102,129,13,286,91,95,59,9,26,0,0,0,9,3,45,714,1353,79,16,146,102,43,34,22,15,2,5,1,25,6,53,342,0,0,0,0,0,0
2001_Nothomb-Amelie_Cosmetique-de-l-ennemi.xml,Cosmetique de l'ennemi    ,"Nothomb, Amélie",2001,empty,23555,0,0,0,1083,1603,11,2105,1916,906,339,245,144,16,89,5,248,23,882,2205,2840,97,109,19,277,143,136,92,11,28,2,1,0,12,6,56,717,2355,181,11,230,185,106,20,30,11,1,1,0,23,2,96,522,2410,114,134,12,266,103,119,66,24,31,1,2,0,4,1,58,698,2571,102,129,13,286,91,95,59,9,26,0,0,0,9,3,45,714,2355,169,12,190,178,89,38,24,12,1,11,2,11,0,89,521,0,0,0,0,0,0
1888_Coppee-François_Henriette.xml,Henriette    ,"Coppée, François",1889,empty,25879,0,0,14,371,870,25,2168,1507,1643,816,263,214,29,398,6,51,10,590,3015,1173,19,31,29,78,62,80,39,6,15,1,6,0,0,0,23,466,2587,69,35,172,123,172,79,21,22,1,29,0,0,0,42,798,2250,25,66,32,177,124,158,70,29,20,9,36,0,0,0,45,742,1806,26,67,22,143,113,95,61,20,10,0,18,0,22,2,56,478,2587,108,21,206,160,150,83,21,12,0,32,0,23,3,75,636,0,0,14,0,0,14
1975_San-Antonio_Certaines-l-aiment-chauve.xml,Certaines l'aiment chauve    ,San-Antonio,1975,empty,60404,0,2,15,2359,2416,12,5595,3230,3174,1175,543,412,54,196,27,454,104,1327,6887,5983,212,211,13,556,289,358,129,54,48,3,22,0,47,6,142,1614,6040,213,27,558,291,362,130,54,48,3,22,0,48,6,143,1630,2187,50,115,13,171,110,114,40,9,7,5,10,0,18,1,38,726,5692,144,197,16,489,324,323,116,45,54,6,22,0,38,12,125,1476,6040,209,27,523,341,337,121,48,57,6,22,0,39,14,132,1546,0,2,15,0,0,14
1957_Malet-Leo_Boulevard-ossements.xml,Boulevard... ossements    ,"Malet, Léo",1957,empty,53004,0,0,15,1921,3307,13,5197,4238,2236,1437,405,458,42,152,11,610,145,1435,4375,4032,183,268,11,426,315,171,104,33,40,1,7,0,48,11,100,869,5300,336,14,532,398,242,146,45,48,3,7,0,58,17,122,1106,2808,91,182,13,319,206,139,74,12,7,0,16,1,31,10,65,772,3837,82,195,16,386,294,146,129,29,37,2,14,0,39,14,111,858,5300,304,16,533,421,199,169,38,42,2,28,0,61,17,160,1061,0,0,15,0,0,3
1939_Colette_Duo-Le-Toutounier.xml,Duo - Le Toutounier    ,Colette,1939,empty,57548,0,0,6,3584,1518,16,6206,3613,3235,1671,541,380,35,468,31,387,102,1041,4843,22374,1237,530,18,2488,1350,1323,649,212,194,16,156,2,131,39,368,2909,5754,136,41,606,365,350,168,55,66,4,45,1,27,8,92,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13120,841,362,16,1436,836,735,360,113,56,6,144,10,87,27,253,2099,5754,158,35,641,353,341,161,54,23,1,53,7,29,19,105,1252,0,0,1,0,0,0
1856_Texier-Edmond-Auguste_Amour-et-finance.xml,Amour et finance    ,"Texier, Edmond Auguste",1856,empty,53436,0,0,17,1558,2419,17,5308,2788,2442,1191,437,644,25,220,4,332,85,1332,4074,3074,107,132,15,362,142,168,75,23,36,0,4,0,18,12,58,724,5343,241,21,624,252,267,112,40,61,2,5,0,26,18,103,1037,5505,153,291,15,532,278,266,107,39,62,5,1,0,29,10,134,1182,2840,77,118,19,279,151,126,67,28,44,0,15,0,20,3,85,686,5343,213,24,521,287,219,121,53,63,0,50,0,39,3,153,997,0,0,3,0,0,0
