ref,title,author,date,canon_degree,word_count,book_count,part_count,chapter_count,paragraph_count,sentence_count,verb_count,titled_book_count,titled_part_count,titled_chapter_count
2013_Chazel-Prosper_Le-Chalet-des-sapins.xml,Le Châlet des sapins    ,"Chazel, Prosper",2013,empty,64123,0,0,22,22,2660,6376,0,0,6
1888_Theuriet-Andre_Gertrude-et-Veronique.xml,Gertrude et Veronique    ,"Theuriet, André",1888,empty,73099,0,2,21,1248,2221,7971,0,2,2
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier-par-Alphonse-Signol-et-Stanislas-Macaire-Tome-3-(1831).xml,"Le Chiffonnier, par Alphonse Signol et Stanislas Macaire - Tome 3 (1831)    ","Signol, Alphonse ; Macaire, Stanislas",1831,empty,30716,0,0,8,696,1576,3010,0,0,8
2013_Villars-Fanny_L-Expiation.xml,L'Expiation    ,"Villars, Fanny",2013,empty,48376,0,0,37,888,1798,4906,0,0,37
1878_Calonne-Alphonse-de_La-Ferme-des-moines-par-A-de-Bernard-(de-Calonne)-(1878).xml,"La Ferme des moines, par A. de Bernard (de Calonne) (1878)    ","Calonne, Alphonse de",1878,empty,99754,0,0,31,1960,3369,9925,0,0,31
1932_Simenon-Georges_L-ombre-chinoise.xml,L'ombre chinoise    ,"Simenon, Georges",1932,empty,38196,0,0,11,1918,1474,3874,0,0,11
1990_Perec-Georges_Je-suis-ne.xml,Je suis né    ,"Perec, Georges",1990,empty,22501,0,0,20,209,716,1719,0,0,20
2013_Privat-Esprit_Les-Idoles-du-jour.xml,Les Idoles du jour    ,"Privat, Esprit",2013,empty,48371,0,0,48,716,1513,4250,0,0,48
2013_Witt-Henriette-de_Scenes-historiques-(6eme-serie).xml,Scènes historiques (6ème série)    ,"Witt, Henriette de",2013,empty,99292,0,0,18,18,2324,9508,0,0,18
2013_Poignant-Adolphe_Caen-en-1786-chronique-normande.xml,"Caen en 1786, chronique normande    ","Poignant, Adolphe",2013,empty,48596,0,0,29,913,1973,4163,0,0,29
1857_Sue-Eugene_Les-Mysteres-du-peuple-Tome-XVI.xml,Les Mystères du peuple - Tome XVI    ,"Sue, Eugène",1857,empty,183023,0,0,6,2909,5536,14384,0,0,6
1926_Bernanos-Georges_Sous-le-soleil-de-Satan.xml,Sous le soleil de Satan    ,"Bernanos, Georges",1926,empty,108989,0,2,24,3473,2969,10084,0,2,9
1890_Mirbeau-Octave_Sebastien-Roch.xml,Sébastien Roch    ,"Mirbeau, Octave",1890,empty,110803,2,0,11,1487,3372,9869,2,0,0
1839_Dumas-Alexandre_Acte.xml,Acté,,1839,empty,79328,0,0,19,885,1508,7752,0,0,19
1972_A.D.G._Cradoque-s-band.xml,Cradoque's band    ,A.D.G,1972,empty,57946,0,0,18,1512,2162,5969,0,0,18
1880_Karr-Alphonse_Bourdonnements.xml,Bourdonnements    ,"Karr, Alphonse",1880,empty,63912,0,0,1,1746,1632,4920,0,0,1
1847_Sandeau-Jules_Mademoiselle-de-la-Seigli__re-Volume-1.xml,"  Mademoiselle de la Seiglière, Volume 1 ","Sandeau, Jules",1847,empty,31803,0,0,6,236,935,2976,0,0,0
1869_Ponson-du-Terrail-Pierre_Le-Forgeron-de-la-Cour-Dieu-Tome-II.xml,Le Forgeron de la Cour-Dieu - Tome II    ,"Ponson du Terrail, Pierre",1869,empty,96113,0,1,76,5548,5219,10607,0,1,43
